iter	RMSE
0	40.55583123
1	39.22643644
2	37.92626488
3	36.84293394
4	35.73521122
5	34.7000424
6	33.62612234
7	32.55715723
8	31.46986567
9	30.47933707
10	29.65211246
11	28.73148652
12	27.87242944
13	26.968518
14	26.17018646
15	25.36950099
16	24.57328541
17	23.85005535
18	23.17971908
19	22.45442912
20	21.79754773
21	21.19690925
22	20.55617695
23	19.92680136
24	19.33853737
25	18.79234416
26	18.26421671
27	17.73594615
28	17.21569356
29	16.75518433
30	16.22464668
31	15.71257907
32	15.29291348
33	14.84985352
34	14.47926118
35	14.02902918
36	13.59458598
37	13.20846079
38	12.83421003
39	12.44174842
40	12.05936077
41	11.74659158
42	11.42056856
43	11.10489329
44	10.77168232
45	10.46896216
46	10.20375532
47	9.894268462
48	9.629036081
49	9.338944721
50	9.064063682
51	8.814871796
52	8.571907933
53	8.344895655
54	8.117800784
55	7.921409828
56	7.737477379
57	7.542600542
58	7.325897123
59	7.125268883
60	6.938270428
61	6.759515997
62	6.582409388
63	6.412852088
64	6.258292107
65	6.114243344
66	5.944218269
67	5.822420537
68	5.692618445
69	5.550080637
70	5.419857086
71	5.291063872
72	5.164288765
73	5.037897108
74	4.924995847
75	4.809454535
76	4.696997768
77	4.599827744
78	4.497783371
79	4.398837556
80	4.304418129
81	4.20890817
82	4.124560978
83	4.037454136
84	3.949905625
85	3.87410191
86	3.798701438
87	3.721370427
88	3.650244865
89	3.581894215
90	3.51614245
91	3.443592387
92	3.384692502
93	3.320657613
94	3.253136164
95	3.201133594
96	3.151346917
97	3.095943699
98	3.042381874
99	2.989885522
100	2.943595274
101	2.900655309
102	2.860207638
103	2.817208034
104	2.774721248
105	2.735472796
106	2.693302774
107	2.64869102
108	2.61407455
109	2.575698302
110	2.545961871
111	2.511160315
112	2.50303838
113	2.470109485
114	2.439908181
115	2.4319845
116	2.405348368
117	2.399486139
118	2.371686227
119	2.343063545
120	2.315332683
121	2.297249513
122	2.2738134
123	2.250364426
124	2.233370836
125	2.224087761
126	2.202072663
127	2.17501257
128	2.167827504
129	2.144329407
130	2.13326156
131	2.123257823
132	2.115183717
133	2.094762581
134	2.0739283
135	2.052799264
136	2.031373814
137	2.024202421
138	2.013152172
139	1.992653372
140	1.973066781
141	1.963877072
142	1.945771257
143	1.936124462
144	1.931875752
145	1.926466244
146	1.920708606
147	1.915158451
148	1.902791352
149	1.892707512
150	1.887576849
151	1.882429655
152	1.876685908
153	1.871604941
154	1.866451228
155	1.852499762
156	1.838785032
157	1.823689772
158	1.812235511
159	1.805271512
160	1.801607204
161	1.796716283
162	1.789012475
163	1.784105314
164	1.768427361
165	1.756134391
166	1.752547994
167	1.748475078
168	1.732686358
169	1.721414658
170	1.714615588
171	1.706384711
172	1.702861517
173	1.69884647
174	1.695285818
175	1.692346975
176	1.685659705
177	1.682164117
178	1.678391322
179	1.674359546
180	1.671258329
181	1.661500379
182	1.651236678
183	1.648276151
184	1.639053584
185	1.628945986
186	1.617942509
187	1.614844673
188	1.6045939
189	1.59482611
190	1.592290852
191	1.58962678
192	1.578245191
193	1.568654753
194	1.559916043
195	1.557196873
196	1.553565702
197	1.551058762
198	1.547114753
199	1.544476165
200	1.541857477
201	1.539968784
202	1.533983963
203	1.522895786
204	1.520675269
205	1.518818404
206	1.516874333
207	1.5082793
208	1.499652837
209	1.497803301
210	1.495987552
211	1.494007814
212	1.485106208
213	1.483081754
214	1.478624025
215	1.475450604
216	1.46707226
217	1.464881744
218	1.455289424
219	1.453492519
220	1.450826837
221	1.443163354
222	1.441249636
223	1.439384354
224	1.434321815
225	1.432919839
226	1.42630324
227	1.417799215
228	1.416460605
229	1.414786387
230	1.413280774
231	1.41183653
232	1.404990311
233	1.403639437
234	1.402441007
235	1.401202495
236	1.394743136
237	1.387508015
238	1.381482517
239	1.380376803
240	1.379291753
241	1.371793411
242	1.37074385
243	1.368806827
244	1.362980901
245	1.356445837
246	1.355136048
247	1.353851107
248	1.352590134
249	1.351350897
250	1.343974934
251	1.339343901
252	1.338158131
253	1.337289609
254	1.330499668
255	1.322684745
256	1.321853972
257	1.317618221
258	1.312467339
259	1.311676584
260	1.3039161
261	1.298516729
262	1.295305454
263	1.290133812
264	1.284381008
265	1.283370184
266	1.277761827
267	1.277063996
268	1.276103164
269	1.275361273
270	1.274432774
271	1.269376308
272	1.264814739
273	1.259930247
274	1.259313458
275	1.258708392
276	1.258114832
277	1.252272647
278	1.247781684
279	1.245607337
280	1.245046917
281	1.2419731
282	1.241431167
283	1.239029595
284	1.238507203
285	1.237994802
286	1.234095463
287	1.233600169
288	1.233114347
289	1.232637819
290	1.228799655
291	1.222814747
292	1.219824026
293	1.218811236
294	1.212936061
295	1.20735827
296	1.203812044
297	1.198605219
298	1.193365235
299	1.188705705
300	1.188301311
301	1.184407923
302	1.183804334
303	1.183214544
304	1.182841172
305	1.182171624
306	1.177324692
307	1.176969768
308	1.176621663
309	1.1707901
310	1.17045349
311	1.166888572
312	1.160904547
313	1.156867361
314	1.154424527
315	1.152538708
316	1.151821513
317	1.149962632
318	1.145469261
319	1.142177427
320	1.141860456
321	1.139142353
322	1.13849295
323	1.134203651
324	1.130887064
325	1.127506893
326	1.125047994
327	1.121189138
328	1.116224254
329	1.112757943
330	1.108842159
331	1.104672984
332	1.102658105
333	1.097569582
334	1.094913043
335	1.092210775
336	1.087551483
337	1.0846357
338	1.081316482
339	1.079465533
340	1.074761922
341	1.071241808
342	1.068872615
343	1.064941393
344	1.061549066
345	1.057874109
346	1.05513933
347	1.051164208
348	1.049097129
349	1.045855727
350	1.04288499
351	1.041045062
352	1.039905213
353	1.036796461
354	1.0349061
